husband(GF1, GM1)
wife(GM1, GF1)
brother(GU1, GF1)
sister(GA1, GM1)
sibling(GU1, GF1)
sibling(GF1, GU1)
sibling(GA1, GM1)
sibling(GM1, GA1)
father(GF1, F1A)
mother(GM1, F1A)
father(GF1, F1B)
mother(GM1, F1B)
husband(F1A, M1A)
wife(M1A, F1A)
husband(F1B, M1B)
wife(M1B, F1B)
brother(F1A, F1B)
sister(M1A, M1B)
sibling(F1A, F1B)
sibling(F1B, F1A)
sibling(M1A, M1B)
sibling(M1B, M1A)
father(F1A, C1A1)
mother(M1A, C1A1)
father(F1A, C1A2)
mother(M1A, C1A2)
father(F1B, C1B1)
mother(M1B, C1B1)
father(F1B, C1B2)
mother(M1B, C1B2)
son(F1A, GF1)
daughter(F1B, GM1)
son(C1A1, F1A)
daughter(C1A2, M1A)
son(C1B1, F1B)
daughter(C1B2, M1B)
grandfather_chain(GF1, C1A1)
grandfather_chain(GF1, C1A2)
grandfather_chain(GF1, C1B1)
grandfather_chain(GF1, C1B2)
grandmother_chain(GM1, C1A1)
grandmother_chain(GM1, C1A2)
grandmother_chain(GM1, C1B1)
grandmother_chain(GM1, C1B2)
paternal_uncle_chain(GU1, F1A)
paternal_uncle_chain(GU1, F1B)
maternal_aunt_chain(GA1, F1A)
maternal_aunt_chain(GA1, F1B)
cousin_chain(C1A1, C1B1)
cousin_chain(C1B1, C1A1)
cousin_chain(C1A1, C1B2)
cousin_chain(C1B2, C1A1)
cousin_chain(C1A2, C1B1)
cousin_chain(C1B1, C1A2)
cousin_chain(C1A2, C1B2)
cousin_chain(C1B2, C1A2)
husband(GF2, GM2)
wife(GM2, GF2)
brother(GU2, GF2)
sister(GA2, GM2)
sibling(GU2, GF2)
sibling(GF2, GU2)
sibling(GA2, GM2)
sibling(GM2, GA2)
father(GF2, F2A)
mother(GM2, F2A)
father(GF2, F2B)
mother(GM2, F2B)
husband(F2A, M2A)
wife(M2A, F2A)
husband(F2B, M2B)
wife(M2B, F2B)
brother(F2A, F2B)
sister(M2A, M2B)
sibling(F2A, F2B)
sibling(F2B, F2A)
sibling(M2A, M2B)
sibling(M2B, M2A)
father(F2A, C2A1)
mother(M2A, C2A1)
father(F2A, C2A2)
mother(M2A, C2A2)
father(F2B, C2B1)
mother(M2B, C2B1)
father(F2B, C2B2)
mother(M2B, C2B2)
son(F2A, GF2)
daughter(F2B, GM2)
son(C2A1, F2A)
daughter(C2A2, M2A)
son(C2B1, F2B)
daughter(C2B2, M2B)
grandfather_chain(GF2, C2A1)
grandfather_chain(GF2, C2A2)
grandfather_chain(GF2, C2B1)
grandfather_chain(GF2, C2B2)
grandmother_chain(GM2, C2A1)
grandmother_chain(GM2, C2A2)
grandmother_chain(GM2, C2B1)
grandmother_chain(GM2, C2B2)
paternal_uncle_chain(GU2, F2A)
paternal_uncle_chain(GU2, F2B)
maternal_aunt_chain(GA2, F2A)
maternal_aunt_chain(GA2, F2B)
cousin_chain(C2A1, C2B1)
cousin_chain(C2B1, C2A1)
cousin_chain(C2A1, C2B2)
cousin_chain(C2B2, C2A1)
cousin_chain(C2A2, C2B1)
cousin_chain(C2B1, C2A2)
cousin_chain(C2A2, C2B2)
cousin_chain(C2B2, C2A2)
husband(GF3, GM3)
wife(GM3, GF3)
brother(GU3, GF3)
sister(GA3, GM3)
sibling(GU3, GF3)
sibling(GF3, GU3)
sibling(GA3, GM3)
sibling(GM3, GA3)
father(GF3, F3A)
mother(GM3, F3A)
father(GF3, F3B)
mother(GM3, F3B)
husband(F3A, M3A)
wife(M3A, F3A)
husband(F3B, M3B)
wife(M3B, F3B)
brother(F3A, F3B)
sister(M3A, M3B)
sibling(F3A, F3B)
sibling(F3B, F3A)
sibling(M3A, M3B)
sibling(M3B, M3A)
father(F3A, C3A1)
mother(M3A, C3A1)
father(F3A, C3A2)
mother(M3A, C3A2)
father(F3B, C3B1)
mother(M3B, C3B1)
father(F3B, C3B2)
mother(M3B, C3B2)
son(F3A, GF3)
daughter(F3B, GM3)
son(C3A1, F3A)
daughter(C3A2, M3A)
son(C3B1, F3B)
daughter(C3B2, M3B)
grandfather_chain(GF3, C3A1)
grandfather_chain(GF3, C3A2)
grandfather_chain(GF3, C3B1)
grandfather_chain(GF3, C3B2)
grandmother_chain(GM3, C3A1)
grandmother_chain(GM3, C3A2)
grandmother_chain(GM3, C3B1)
grandmother_chain(GM3, C3B2)
paternal_uncle_chain(GU3, F3A)
paternal_uncle_chain(GU3, F3B)
maternal_aunt_chain(GA3, F3A)
maternal_aunt_chain(GA3, F3B)
cousin_chain(C3A1, C3B1)
cousin_chain(C3B1, C3A1)
cousin_chain(C3A1, C3B2)
cousin_chain(C3B2, C3A1)
cousin_chain(C3A2, C3B1)
cousin_chain(C3B1, C3A2)
cousin_chain(C3A2, C3B2)
cousin_chain(C3B2, C3A2)
husband(GF4, GM4)
wife(GM4, GF4)
brother(GU4, GF4)
sister(GA4, GM4)
sibling(GU4, GF4)
sibling(GF4, GU4)
sibling(GA4, GM4)
sibling(GM4, GA4)
father(GF4, F4A)
mother(GM4, F4A)
father(GF4, F4B)
mother(GM4, F4B)
husband(F4A, M4A)
wife(M4A, F4A)
husband(F4B, M4B)
wife(M4B, F4B)
brother(F4A, F4B)
sister(M4A, M4B)
sibling(F4A, F4B)
sibling(F4B, F4A)
sibling(M4A, M4B)
sibling(M4B, M4A)
father(F4A, C4A1)
mother(M4A, C4A1)
father(F4A, C4A2)
mother(M4A, C4A2)
father(F4B, C4B1)
mother(M4B, C4B1)
father(F4B, C4B2)
mother(M4B, C4B2)
son(F4A, GF4)
daughter(F4B, GM4)
son(C4A1, F4A)
daughter(C4A2, M4A)
son(C4B1, F4B)
daughter(C4B2, M4B)
grandfather_chain(GF4, C4A1)
grandfather_chain(GF4, C4A2)
grandfather_chain(GF4, C4B1)
grandfather_chain(GF4, C4B2)
grandmother_chain(GM4, C4A1)
grandmother_chain(GM4, C4A2)
grandmother_chain(GM4, C4B1)
grandmother_chain(GM4, C4B2)
paternal_uncle_chain(GU4, F4A)
paternal_uncle_chain(GU4, F4B)
maternal_aunt_chain(GA4, F4A)
maternal_aunt_chain(GA4, F4B)
cousin_chain(C4A1, C4B1)
cousin_chain(C4B1, C4A1)
cousin_chain(C4A1, C4B2)
cousin_chain(C4B2, C4A1)
cousin_chain(C4A2, C4B1)
cousin_chain(C4B1, C4A2)
cousin_chain(C4A2, C4B2)
cousin_chain(C4B2, C4A2)
husband(GF5, GM5)
wife(GM5, GF5)
brother(GU5, GF5)
sister(GA5, GM5)
sibling(GU5, GF5)
sibling(GF5, GU5)
sibling(GA5, GM5)
sibling(GM5, GA5)
father(GF5, F5A)
mother(GM5, F5A)
father(GF5, F5B)
mother(GM5, F5B)
husband(F5A, M5A)
wife(M5A, F5A)
husband(F5B, M5B)
wife(M5B, F5B)
brother(F5A, F5B)
sister(M5A, M5B)
sibling(F5A, F5B)
sibling(F5B, F5A)
sibling(M5A, M5B)
sibling(M5B, M5A)
father(F5A, C5A1)
mother(M5A, C5A1)
father(F5A, C5A2)
mother(M5A, C5A2)
father(F5B, C5B1)
mother(M5B, C5B1)
father(F5B, C5B2)
mother(M5B, C5B2)
son(F5A, GF5)
daughter(F5B, GM5)
son(C5A1, F5A)
daughter(C5A2, M5A)
son(C5B1, F5B)
daughter(C5B2, M5B)
grandfather_chain(GF5, C5A1)
grandfather_chain(GF5, C5A2)
grandfather_chain(GF5, C5B1)
grandfather_chain(GF5, C5B2)
grandmother_chain(GM5, C5A1)
grandmother_chain(GM5, C5A2)
grandmother_chain(GM5, C5B1)
grandmother_chain(GM5, C5B2)
paternal_uncle_chain(GU5, F5A)
paternal_uncle_chain(GU5, F5B)
maternal_aunt_chain(GA5, F5A)
maternal_aunt_chain(GA5, F5B)
cousin_chain(C5A1, C5B1)
cousin_chain(C5B1, C5A1)
cousin_chain(C5A1, C5B2)
cousin_chain(C5B2, C5A1)
cousin_chain(C5A2, C5B1)
cousin_chain(C5B1, C5A2)
cousin_chain(C5A2, C5B2)
cousin_chain(C5B2, C5A2)
husband(GF6, GM6)
wife(GM6, GF6)
brother(GU6, GF6)
sister(GA6, GM6)
sibling(GU6, GF6)
sibling(GF6, GU6)
sibling(GA6, GM6)
sibling(GM6, GA6)
father(GF6, F6A)
mother(GM6, F6A)
father(GF6, F6B)
mother(GM6, F6B)
husband(F6A, M6A)
wife(M6A, F6A)
husband(F6B, M6B)
wife(M6B, F6B)
brother(F6A, F6B)
sister(M6A, M6B)
sibling(F6A, F6B)
sibling(F6B, F6A)
