sibling(GA22, GM22)
grandfather_chain(GF36, C36B2)
father(GF9, F9B)
wife(GM9, GF9)
brother(F18A, F18B)
brother(GU29, GF29)
daughter(C21B2, M21B)
mother(M4B, C4B1)
cousin_chain(C13B2, C13A1)
mother(M30A, C30A1)
cousin_chain(C25B1, C25A2)
daughter(C37A2, M37A)
brother(F40A, F40B)
father(GF3, F3A)
mother(M11B, C11B2)
grandfather_chain(GF2, C2B2)
cousin_chain(C4B1, C4A1)
daughter(C23A2, M23A)
maternal_aunt_chain(GA1, F1A)
husband(F21B, M21B)
grandmother_chain(GM12, C12A1)
cousin_chain(C34B1, C34A2)
cousin_chain(C33B2, C33A1)
father(F25A, C25A1)
sibling(M12B, M12A)
wife(GM11, GF11)
father(F10B, C10B2)
paternal_uncle_chain(GU33, F33B)
sister(M31A, M31B)
sibling(GF24, GU24)
cousin_chain(C4B2, C4A2)
paternal_uncle_chain(GU40, F40B)
daughter(C36B2, M36B)
father(F11A, C11A2)
cousin_chain(C35A1, C35B1)
sibling(M12A, M12B)
father(F12B, C12B2)
sibling(F1B, F1A)
sister(GA9, GM9)
sister(GA17, GM17)
son(C22A1, F22A)
cousin_chain(C33B1, C33A1)
sister(GA10, GM10)
son(C37B1, F37B)
cousin_chain(C12A2, C12B2)
father(F6A, C6A2)
mother(M15B, C15B1)
cousin_chain(C11A2, C11B1)
cousin_chain(C10B1, C10A2)
husband(GF40, GM40)
son(C38B1, F38B)
grandfather_chain(GF39, C39A2)
husband(F23A, M23A)
mother(GM12, F12B)
son(C12A1, F12A)
brother(F4A, F4B)
mother(M5A, C5A2)
mother(M5A, C5A1)
grandmother_chain(GM4, C4B2)
daughter(C4A2, M4A)
cousin_chain(C4A2, C4B2)
sibling(F27B, F27A)
grandmother_chain(GM32, C32A2)
father(F34B, C34B2)
cousin_chain(C4A1, C4B2)
sibling(GU5, GF5)
cousin_chain(C13B1, C13A1)
husband(GF23, GM23)
wife(M14A, F14A)
mother(M29B, C29B1)
mother(M33B, C33B1)
sibling(F15B, F15A)
wife(GM20, GF20)
cousin_chain(C36A1, C36B2)
son(F19A, GF19)
sibling(GU9, GF9)
maternal_aunt_chain(GA16, F16B)
sibling(M19B, M19A)
